triple_id,subject,predicate,object,confidence
23052,alcohol_use,risk_factor_of,dementia,1.0
19495,alcohol_intake,measured_by,self-report,1.0
25208,excessive_alcohol_intake,risk_factor_of,alcohol_use_disorder,1.0
25265,alcohol,affects,autophagy,1.0
25269,alcohol,affects,cerebral_blood_flow,1.0
28769,alcohol_consumption,risk_factor_of,constipation,1.0
34169,alcohol_misuse,risk_factor_of,alzheimer_s_disease,1.0
34170,alcohol_misuse,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
34782,alcohol_use,risk_factor_of,risk_of_developing_ad,1.0
34783,alcohol_use,risk_factor_of,developing_ad,1.0
37672,alcohol_drinking,risk_factor_of,alzheimer_s_disease,1.0
40223,detailed_accounts,describes,alcohol_consumption,1.0
40330,alcohol,prevents,dementia,1.0
40333,alcohol_drinking,prevents,dementia,1.0
40343,major_bias,occurs_in,alcohol,1.0
40345,abstainer,occurs_in,alcohol,1.0
40414,alcohol,causes,brain_atrophy,1.0
40415,alcohol,causes,neuronal_loss,1.0
41211,alcohol_abuse,risk_factor_of,dementia,1.0
46576,vlsfas,associated_with,alcohol_intake,1.0
47043,alcohol_intake,risk_factor_of,dementia-free,1.0
49522,alcohol_consumption,risk_factor_of,comorbidities,1.0
49524,alcohol_consumption,risk_factor_of,hypertension,1.0
49548,smoking_and_alcohol_consumption,risk_factor_of,depression,1.0
49550,alcohol_consumption,risk_factor_of,depression,1.0
49551,alcohol_consumption,risk_factor_of,depression_status_groups,1.0
46641,alcohol_intake,risk_factor_of,alzheimer_s_disease-dr,0.9996303975582124
14619,alcohol_consumption,risk_factor_of,cognitive_impairment,0.9963704437017442
15462,excessive_alcohol_consumption,risk_factor_of,modifiable_dementia_risk,0.9957516998052598
41562,alcohol_use_disorders,risk_factor_of,dementia,0.9952576398849489
40236,alcohol,measured_by,selfreported,0.9949011713266374
15340,excessive_alcohol_consumption,risk_factor_of,new-onset_dementia,0.9939260989427567
41570,moderate_alcohol_intake,risk_factor_of,alcohol,0.9901705592870713
40265,alcohol-gs,associated_with,alcohol_consumption,0.9878013193607331
18063,excessive_alcohol_use,risk_factor_of,dementia,0.9860707956552506
41563,alcohol_abstinence,prevents,dementia,0.9809400528669359
23758,"alcohol_consumption,_obesity",risk_factor_of,dementia,0.9789871782064439
49549,smoking_and_alcohol_consumption,risk_factor_of,depression_status_groups,0.9784631609916687
21457,"excessive_alcohol_consumption,_obesity",risk_factor_of,less_education,0.9782589554786683
21456,excessive_alcohol_consumption,risk_factor_of,less_education,0.9779001682996751
25266,alcohol,affects,proteostasis,0.9762078762054445
43751,alcohol_and_smoking,risk_factor_of,dementia,0.9734338432550431
47808,alcohol,leads_to,lipid_abnormalities,0.9707270473241807
49520,smoking_and_alcohol_consumption,risk_factor_of,comorbidities,0.9636548221111298
41581,alcohol_consumption,occurs_in,diverse_regions,0.96280956864357
47799,alcohol,causes,reduced,0.9484061539173128
33794,alcohol_consumption,risk_factor_of,dementia_and/or_alzheimer_s_disease,0.9482341766357423
43940,alcohol_consumption,affects,adults,0.9464763939380647
15341,excessive_alcohol_consumption,risk_factor_of,dementia,0.9457993961820005
25270,alcohol,affects,vessel_integrity,0.9387748301029206
47800,alcohol,causes,reduced_cell_density,0.9332697302103043
39842,nondrinkers,consume,alcohol,0.9315000000000001
41573,alcohol,causes,hippocampal_atrophy,0.9303485393524171
23050,alcohol_use,part_of,brain_care_score,0.9291872292757035
23845,excessive_alcohol_consumption,risk_factor_of,alzheimer_s_disease,0.9234539180994035
46594,alcohol_intake,risk_factor_of,global_cognitive_function,0.9233536928892137
15518,alcohol_consumption,risk_factor_of,dementia,0.9224482577171922
46668,vlsfa,associated_with,alcohol_intake,0.9190239369869233
40392,alcohol,causes,dementia,0.9187666496634485
49521,smoking_and_alcohol_consumption,risk_factor_of,hypertension,0.9179283440113069
25967,alcohol_use_disorder,risk_factor_of,alzheimer_s_disease_and_ad,0.9178873509168626
40204,alcohol_consumption,predicts,not_associated_with,0.915140187740326
17580,alcohol,risk_factor_of,dementia,0.9148633457422257
46639,"waist_circumference,_alcohol_intake",risk_factor_of,alzheimer_s_disease-dr,0.9115320324897767
26444,excessive_alcohol_consumption,risk_factor_of,men,0.909064629673958
25243,the_lancet_commission,describes,alcohol_consumption,0.9079400211572648
41679,abstain_from_alcohol,prevents,alcohol,0.9068325370550157
40300,genetically,predicts,alcohol,0.9051892369985581
41551,excessive_or_harmful_alcohol_use,risk_factor_of,dementia,0.904746448993683
23051,alcohol_use,risk_factor_of,incident_dementia,0.902613064646721
15464,excessive_alcohol_consumption,risk_factor_of,effective_management,0.9002748489379884
41669,current_alcohol_consumption,associated_with,dementia,0.8968146204948426
40307,genetic,predicts,alcohol_consumption,0.8963635653257371
43944,heavy_alcohol_use,risk_factor_of,neurodegeneration,0.89491525888443
25264,alcohol,affects,mitochondrial_dysfunction,0.8890242367982866
40298,genetically_predicted,predicts,alcohol,0.8856566756963731
20972,alcohol_use,measured_by,questions,0.8845710068941117
45481,alcohol_intake_status,risk_factor_of,dementia,0.8835710793733598
40421,alcohol_consumption,predicts,dementia,0.8834046065807344
40335,alcohol_drinking,leads_to,health_problems,0.8831446081399918
33795,alcohol_consumption,risk_factor_of,alzheimer_s_disease,0.882695901989937
39840,current_alcohol_drinkers,follow,following_reasons,0.8815000000000001
25242,alcohol_consumption,associated_with,alzheimer_s_disease,0.8802931964397431
25249,the_lancet_commission_on_dementia_prevention,describes,alcohol_consumption,0.8773288637399674
40334,alcohol_drinking,leads_to,other_health_problems,0.877113750576973
20870,excessive_alcohol,risk_factor_of,early_life,0.8751751810312272
25262,alcohol,affects,neuroinflammation,0.8747436195611955
26443,excessive_alcohol_consumption,risk_factor_of,women,0.8700914621353151
40263,alcohol_consumption,associated_with,smoking_behaviors,0.8679386764764787
41564,increased_alcohol_consumption,risk_factor_of,dementia,0.8608577311038972
40400,specific_beneficial_elements,prevents,alcohol,0.8600910663604737
40322,genetically,predicts,alcohol_intake,0.8581827640533448
25246,"the_lancet_commission_on_dementia_prevention,_intervention,_and_care",describes,alcohol_consumption,0.8567864060401917
40323,genetically_predicted,predicts,alcohol_intake,0.8563029825687409
37475,alcohol_use,treated_by,semaglutide,0.8543977614777428
40262,alcohol_consumption,part_of,gwas,0.853894716501236
25236,alcohol_use_disorder,risk_factor_of,alzheimer_s_disease_pathology_but_also_underscores_the_importance_of_considering_ad,0.8538765221834184
40384,alcohol_consumption,associated_with,dementia,0.8537469705939293
20971,alcohol_use,measured_by,series_of_questions,0.8531991302967072
46640,alcohol_intake,risk_factor_of,rcs_analysis,0.8527063190937043
18049,midlife_excessive_alcohol_use,associated_with,paf,0.8512324005365373
43939,alcohol,affects,adults,0.8498365819454193
25267,alcohol,affects,transcriptional_and_epigenetic_changes,0.8491194903850556
41675,alcohol_consumption,improves,poorer_functionality,0.8488964647054673
25218,alcohol_use_disorder,risk_factor_of,alzheimer_s_disease,0.848647689819336
40376,alcohol_consumption,leads_to,dementia,0.8470341205596924
41579,alcohol_consumption,causes,hippocampal_atrophy,0.8467917382717133
41566,lightto-moderate_alcohol_intake,improves,cognitive_performance,0.8467764437198639
25263,alcohol,affects,oxidative_stress,0.8466162323951721
40378,alcohol_consumption,worsens,brain,0.8458604753017426
46617,alcohol_intake,risk_factor_of,composite_z-scores,0.8437588274478913
16143,excessive_alcohol,risk_factor_of,females,0.8414233386516572
41577,alcohol_intake,risk_factor_of,alcohol,0.841385567188263
14715,alcohol,affects,cognitive_function,0.8412004053592682
41695,current_light_alcohol_consumption,associated_with,nci,0.8408902943134309
41572,alcohol,causes,adverse_brain_outcomes,0.8401989102363587
41553,light_to_moderate_alcohol_consumption,risk_factor_of,dementia,0.8384107261896134
25261,alcohol_intoxication,risk_factor_of,alzheimer_s_disease,0.835487386584282
25878,alcohol_use_disorder,worsens,alzheimer_s_disease,0.8338440418243409
