triple_id,subject,predicate,object,confidence
23046,serum_cholesterol,part_of,brain_care_score,1.0
33770,high_cholesterol,risk_factor_of,dementia_and/or_alzheimer_s_disease,1.0
33771,high_cholesterol,risk_factor_of,alzheimer_s_disease,1.0
33838,high_cholesterol,risk_factor_of,male,1.0
35101,hypercholesterolemia,risk_factor_of,dementia,1.0
35131,total_cholesterol,measured_by,blood_droplets,1.0
35299,hypercholesterolemia,treated_by,treatment,1.0
35298,hypercholesterolemia,treated_by,high-quality_treatment,0.9952841013669969
35303,cholesterol,risk_factor_of,dementia,0.9947040766477586
31135,cholesterol_metabolism,occurs_in,body,0.9944032669067384
35297,hypercholesterolemia,treated_by,equally_high-quality_treatment,0.9892002254724503
33769,high_cholesterol,risk_factor_of,dementia,0.9763186055421829
31130,barnesiella,improves,cholesterol_metabolism,0.9658927261829378
33836,high_cholesterol,risk_factor_of,those_assigned_male,0.9652089834213258
33837,high_cholesterol,risk_factor_of,assigned_male,0.9510740101337434
33735,hypercholesterolemia,risk_factor_of,alzheimer_s_disease,0.9419741243124009
46486,total_cholesterol,measured_by,modular_p_chemistry_analyzer,0.9272473216056825
19059,serum_hdl_cholesterol,risk_factor_of,hazard_for_developing_dementia,0.9012709319591523
47887,apolipoprotein_b,part_of,cholesterol_pathway_biomarkers,0.8943166792392732
46485,cholesterol,measured_by,modular_p_chemistry_analyzer,0.8886764854192735
23026,hypercholesterolemia,risk_factor_of,risk_score,0.8845279574394227
35132,total_cholesterol,measured_by,filter_paper,0.8760216474533082
19060,serum_hdl_cholesterol,risk_factor_of,dementia,0.8709483832120897
19058,serum_hdl_cholesterol,risk_factor_of,hazard,0.8694465696811677
19056,serum_total_cholesterol,risk_factor_of,hazard_for_developing_dementia,0.854019570350647
47884,apolipoprotein_a-­i,part_of,cholesterol_pathway_biomarkers,0.8511363297700882
35086,high_cholesterol,part_of,cardiovascular_risk_factors,0.8391104280948639
31134,plasma,measured_by,cholesterol,0.8377146065235138
46565,hdl_cholesterol,part_of,plasma_lipids,0.8366482496261597
