risk_factor,triple_count,mean_confidence,std_confidence
inactivity,199,0.7542879789273897,0.18791959818636464
smoking,285,0.769210790702557,0.18329822888813244
alcohol,684,0.6899571327290883,0.18830913990588677
pollution,87,0.7044455270137735,0.18764288119235192
injury,133,0.7320447668091338,0.16647769264383572
isolation,197,0.7510027830249768,0.18887482284182686
education,1104,0.7019539682577703,0.18801589140937672
obesity,362,0.7422341675773821,0.18802280783816097
hypertension,584,0.7523193261142649,0.18472540742599436
diabetes,451,0.738426266471674,0.1838094481310423
depression,468,0.7426120309476665,0.18570517609808765
hearing,270,0.8018509479871504,0.17768074767130218
vision,59,0.6556838093167644,0.17954195327637515
cholesterol,97,0.8038271963043312,0.18183736396289882
poor_sleep,272,0.7138314649024432,0.18243270064720005
diet,231,0.7078993076324464,0.19851294771810926
