triple_id,subject,predicate,object,confidence
713,low_educational_status,risk_factor_of,cognitive_impairment,1.0
1435,low_education_levels,occurs_in,adults,1.0
2130,bachelor’s_or_equivalent_level,part_of,danish_classification_system_of_educational_level,1.0
2863,education,measured_by,self-report,1.0
4362,education,risk_factor_of,composite_risk_score,1.0
4363,education,risk_factor_of,risk_score,1.0
4729,education,risk_factor_of,traumatic_brain_injury,1.0
10019,educational_attainment,risk_factor_of,atrial_fibrillation,1.0
11818,cognitive_models,adjust,educational_attainment,1.0
12397,education,beyond,high_school,1.0
12491,adulthood_education_attainment,risk_factor_of,alzheimer_s,1.0
12508,education,occurs_in,adulthood,1.0
13024,years_of_education,risk_factor_of,alzheimer_s_diseaseas,1.0
13250,childhood_education,prevents,dementia,1.0
14146,low_education,occurs_in,middle_aged,1.0
14540,education,risk_factor_of,frontotemporal_dementia,1.0
15247,higher_education_level,risk_factor_of,dementia,1.0
15782,vlsfas,associated_with,education,1.0
15821,education,risk_factor_of,alzheimer_s_disease-dr,1.0
16013,low_socioeconomic_status,measured_by,educational_attainment,1.0
16032,education_qualifications,risk_factor_of,dementia-free,1.0
17143,education_level,risk_factor_of,comorbidities,1.0
17172,educational_level,risk_factor_of,depression,1.0
17336,education,risk_factor_of,mortality,1.0
17526,science_education,occurs_in,community,1.0
10203,educational_level,risk_factor_of,dementia,0.9981678131222724
2330,education,part_of,prevention_programs,0.9902490615844728
6586,education,affects,women,0.9900615751743318
13026,years_of_education,risk_factor_of,alzheimer_s_diseaseas_delayed_recall,0.9888289600610733
17344,education,risk_factor_of,hypertension,0.986456060409546
2690,education_level,risk_factor_of,diabetes,0.9860591381788255
1092,low_education,occurs_in,adults,0.9796133332986832
1037,low_education,risk_factor_of,dementia,0.9660454344451428
1091,educational_levels,occurs_in,adults,0.9635454441165925
16710,higher_education,prevents,cognitive_impairments,0.9628623996543886
15794,education,risk_factor_of,global_cognitive_function,0.9547465354204179
2707,education_level,risk_factor_of,dementia,0.9521151723775267
11199,years_of_education,risk_factor_of,alzheimer_s_disease,0.9517324119249979
2269,less_education,risk_factor_of,dementia,0.9514937287013707
11232,educational_attainment,improves,functional_resilience,0.9451048880815507
8429,cognitive_reserve,measured_by,education,0.9440350472927095
2329,education,part_of,dementia_prevention_programs,0.94322027862072
17524,science_education_initiatives,occurs_in,community,0.9415886461734773
13257,continued_education,occurs_in,late_life,0.9395752012729646
11208,years_of_education,measured_by,ascertainment_protocols,0.936426430884997
16017,ses,measured_by,educational_attainment,0.9312227576971055
15836,vlsfa,associated_with,education,0.929467073082924
12504,educational_attainment,predicts,cognitive_complexity,0.9277275741100313
12420,cumulative_educational_attainment,risk_factor_of,dementia,0.921545884013176
13025,years_of_education,predicts,alzheimer_s_diseaseas,0.9172861307859421
