triple_id,subject,predicate,object,confidence
16637,hypertension,occurs_in,adults,1.0
16818,estrogen,prevents,hypertension,1.0
16866,hypertension,occurs_in,different_sex_and_age_groups,1.0
16867,hypertension,occurs_in,age_groups,1.0
16892,hypertension_prevention,prevents,hypertension,1.0
16894,control,prevents,hypertension,1.0
17142,hypertension,treated_by,antihypertensive_drugs,1.0
21455,hypertension,risk_factor_of,less_education,1.0
26312,hypertension,occurs_in,midlife,1.0
33773,hypertension,risk_factor_of,dementia_and/or_alzheimer_s_disease,1.0
34165,hypertension,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
35292,hypertension,treated_by,equally_high-quality_treatment,1.0
35293,hypertension,treated_by,high-quality_treatment,1.0
43290,hypertension,occurs_in,brazilians,1.0
43311,hypertension,treated_by,healthcare,1.0
43829,hypertension,affects,older_adults,1.0
46287,related_covariates,include,hypertension,1.0
46289,health_care,have,hypertension,1.0
46290,yes_response,cod_as,hypertension,1.0
46291,question,cod,hypertension,1.0
46550,hypertension,treated_by,physician,1.0
46551,hypertension,treated_by,other_health_care_professional,1.0
46552,hypertension,treated_by,health_care_professional,1.0
49501,income_level,risk_factor_of,hypertension,1.0
49508,marital_status,risk_factor_of,hypertension,1.0
49512,type_of_health_insurance,risk_factor_of,hypertension,1.0
49516,residential_area,risk_factor_of,hypertension,1.0
49524,alcohol_consumption,risk_factor_of,hypertension,1.0
49528,employment_status,risk_factor_of,hypertension,1.0
49899,race,risk_factor_of,hypertension,1.0
18132,hypertension,treated_by,better_management,0.9976629525423051
49519,smoking,risk_factor_of,hypertension,0.9972338020801546
17196,physical_exercise,prevents,hypertension,0.9969554781913759
16743,hypertension,affects,boys,0.9955346226692201
49526,regular_physical_activity,risk_factor_of,hypertension,0.992015251517296
14531,hypertension,risk_factor_of,cognitive_impairment,0.9891666561365129
49902,education,risk_factor_of,hypertension,0.986456060409546
16642,hypertension,occurs_in,adulthood,0.982637131214142
16891,hypertension_prevention,prevents,childhood,0.9817914277315141
43834,hypertension,occurs_in,aotearoa_new_zealand,0.9743297904729844
16239,excessive_salt_intake,risk_factor_of,hypertension,0.973589500784874
16658,management_of_hypertension,improves,cardiovascular_health,0.9680097877979279
16625,sex,risk_factor_of,hypertension,0.9672158083558083
16744,hypertension,affects,girls,0.9660865604877473
43832,hypertension,treated_by,adequate_treatment,0.9614183962345124
16790,hypertension,treated_by,interventions,0.9586416563391686
15225,hypertension,risk_factor_of,dementia,0.9547369747459888
16623,age,risk_factor_of,hypertension,0.954303745508194
34811,hypertension,risk_factor_of,ad_risk_factors_such_as_diabetes,0.953902354836464
16913,hypertension_prevention_initiatives,prevents,hypertension,0.9534540235996247
13456,hypertension,treated_by,antihypertensive_medication,0.9526947796344758
16887,hypertension,treated_by,control,0.9518318712711336
16886,hypertension,treated_by,prevention,0.9506267547607423
43310,hypertension,treated_by,greater_investment_in_healthcare,0.9488491624593736
16787,significant_associated_factors,risk_factor_of,hypertension,0.9486132174730302
16791,interventions,prevents,childhood_hypertension,0.9484109789133073
18131,hypertension,treated_by,prevention_programs,0.9454930067062379
16641,adulthood_hypertension,occurs_in,childhood,0.9417629897594453
14698,hypertension,treated_by,management,0.939661220112443
23925,hypertension,risk_factor_of,alzheimer_s_disease,0.9388610179992616
33930,hypertension,treated_by,antihypertensive_medications,0.9361425548791886
16659,hypertension,treated_by,management_of_hypertension,0.9335561007261277
16636,hypertension,occurs_in,prevalent_among_adults,0.9335232883691789
16789,childhood_hypertension,treated_by,interventions,0.9335094302892686
22492,hypertension,occurs_in,ukb,0.93266980946064
20970,hypertension,treated_by,doctor,0.9308704078197481
16611,hypertension,occurs_in,chinese_children,0.9292254954576493
23924,hypertension,risk_factor_of,familial_alzheimer_s_disease,0.9287402838468553
16240,physical_inactivity,risk_factor_of,hypertension,0.9280815362930299
22673,hypertension,occurs_in,asian_popula­_tions,0.9267087787389756
16914,prevention_initiatives,prevents,hypertension,0.9265610784292222
17147,antihypertensive_drugs,prevents,hypertension,0.9250681191682817
22648,hypertension,leads_to,brain_atrophy,0.9206260681152345
16792,interventions,prevents,hypertension,0.918072158098221
49521,smoking_and_alcohol_consumption,risk_factor_of,hypertension,0.9179283440113069
17263,chronic_hypertension,affects,cognition,0.9171340554952623
16624,sex,risk_factor_of,childhood_hypertension,0.9170597106218339
38091,hypertension,risk_factor_of,adar_alzheimer_s_disease,0.9169489800930024
16766,family_history,risk_factor_of,hypertension,0.916456037759781
49904,bmi,risk_factor_of,hypertension,0.9164145976305009
35264,hypertension,treated_by,treated,0.9157396197319032
16622,age,risk_factor_of,childhood_hypertension,0.9153759539127351
16750,family_history_of_hypertension,risk_factor_of,hypertension,0.9152720659971239
26320,hypertension,treated_by,treatment,0.913954750597477
22494,hypertension,measured_by,hospital_records,0.9135269314050676
45469,education_level,risk_factor_of,hypertension,0.9114090168476106
16899,masked_hypertension,occurs_in,medical_setting,0.9084062337875367
16621,hypertension,occurs_in,three_visits,0.9082860261201859
16786,significant_associated_factors,risk_factor_of,childhood_hypertension,0.9075812727212906
17140,hypertension,affects,blood_pressure,0.9067969790101051
16620,hypertension,occurs_in,all_three_visits,0.9028831630945207
16908,hypertension,occurs_in,pinghu,0.9017243593931199
16885,hypertension,treated_by,hypertension_prevention,0.9012638688087464
16876,each_factor,risk_factor_of,hypertension,0.9006454855203629
16714,potential_associated_factors,risk_factor_of,childhood_hypertension,0.8978944748640061
16716,potential_associated_factors,risk_factor_of,hypertension,0.8968516349792481
16752,mother_being_obese,risk_factor_of,hypertension,0.8958176881074906
16768,family_history_of,risk_factor_of,hypertension,0.8956442415714265
26264,hypertension,risk_factor_of,dementia_prevention,0.8955866605043412
45967,history,risk_factor_of,hypertension,0.8934219419956209
