triple_id,subject,predicate,object,confidence
1155,physical_inactivity,risk_factor_of,modifiable_dementia_risk,1.0
5961,physical_inactivity,risk_factor_of,vascular_disease,1.0
9773,physical_inactivity,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
3467,physical_inactivity,measured_by,self-reported,0.9705929398536683
1495,physical_inactivity,occurs_in,youth,0.9360643267631532
1494,physical_inactivity,risk_factor_of,hypertension,0.9280815362930299
286,physical_inactivity,risk_factor_of,dementia,0.9278213296640099
4779,physical_inactivity,risk_factor_of,alzheimer_s_disease,0.9266823413312435
1905,physical_exercise,prevents,inactivity,0.9182659924030305
192,physical_inactivity,risk_factor_of,diabetes,0.9121133625507356
279,physical_inactivity,occurs_in,older_adults,0.889551603794098
14154,physical_inactivity,occurs_in,old_age,0.8889661669731141
10772,physical_inactivity,risk_factor_of,alzheimer_s_disease_related_dementia,0.8840129286050797
14153,physical_inactivity,occurs_in,middle_aged,0.8457131326198578
1044,physical_inactivity,risk_factor_of,new-onset_dementia,0.8402509450912476
126,physical_inactivity,causes,dementia,0.8401961416006088
3708,inactivity,risk_factor_of,dementia,0.839101129770279
1514,physical_inactivity,occurs_in,women,0.8273160314559938
2355,exercise,prevents,physical_inactivity,0.8253435432910919
2350,physical_inactivity,treated_by,exercise,0.8209356456995011
1121,physical_inactivity,risk_factor_of,dementia_risk,0.8153312838077545
3715,physical_inactivity,affects,adults,0.8109619408845902
14420,physical_inactivity,affects,ethnic_groups,0.808672496676445
2328,physical_inactivity,occurs_in,men,0.8035900235176087
1156,physical_inactivity,risk_factor_of,modifiable_dementia,0.7934147030115128
127,physical_inactivity,causes,diabetes,0.7885780572891236
280,physical_inactivity,occurs_in,adults,0.7864353930950164
1153,physical_inactivity,risk_factor_of,depression,0.7863165974617005
201,diabetes,associated_with,physical_inactivity,0.7830991089344025
1020,physical_inactivity,risk_factor_of,diabetes_mellitus,0.7826190829277039
2351,moderate-to-vigorous_exercise_programs,prevents,physical_inactivity,0.7787689924240113
1457,physical_inactivity,risk_factor_of,sex_gap,0.7644860953092576
287,physical_inactivity,risk_factor_of,dementia_cases,0.7629637181758882
9629,physical_inactivity,affects,non-binary_adults,0.762297546863556
2349,physical_inactivity,treated_by,moderate-to-vigorous_exercise_programs,0.7577811092138291
9630,physical_inactivity,occurs_in,non-binary_adults,0.7431661993265153
48,physical_inactivity,associate_with,increased_risk,0.7
2235,physical_inactivity,exclude,light_activities,0.65
3640,physical_inactivity,have,highest_crude_pafs,0.65
3652,physical_inactivity,have,largest_paf,0.65
5863,physical_inactivity,identify_as,major_contributors,0.65
14261,physical_inactivity,be_across,different_ethnic_groups,0.65
5885,inactivity_pafs,be_with,highest_pafs,0.6000000000000001
1774,physical_inactivity,is_a,modifiable_risk_factor,0.55
3639,physical_inactivity,is_a,prevalent_risk_factor,0.55
49,physical_inactivity,associate,increased_risk,0.51
50,physical_inactivity,increase,increased_risk,0.5
1359,physical_inactivity,start,youth,0.5
14129,physical_inactivity,increase,social_isolation,0.5
60,additional_decline,associate,physical_inactivity,0.45000000000000007
851,physical_inactivity,continue,significant_causes,0.45000000000000007
938,physical_inactivity,follow,low_education,0.45000000000000007
5864,physical_inactivity,identify,major_contributors,0.45000000000000007
