triple_id,subject,predicate,object,confidence
34175,social_isolation,risk_factor_of,alzheimer_s_disease,1.0
15456,social_isolation,risk_factor_of,modifiable_dementia_risk,1.0
16138,social_isolation,risk_factor_of,females,1.0
16256,social_isolation,affects,females,1.0
34176,social_isolation,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
34177,social_isolation,affects,ai/an,1.0
43279,social_isolation,measured_by,question,1.0
44043,social_isolation,risk_factor_of,frontotemporal_dementia,1.0
44012,social_isolation,occurs_in,aotearoa_new_zealand,0.9901798129081727
21461,"depression,_social_isolation",risk_factor_of,less_education,0.9836482286453248
44017,social_isolation,affects,aboriginal,0.9822538435459138
21462,social_isolation,risk_factor_of,less_education,0.9767173141241074
15336,social_isolation,risk_factor_of,dementia,0.96041142475307
44015,social_isolation,affects,pacific_peoples,0.9566781729459763
15335,social_isolation,risk_factor_of,new-onset_dementia,0.9524848520755769
21288,social_isolation,occurs_in,higher_economic_strata,0.9522661179304124
23759,"depression,_social_isolation",risk_factor_of,dementia,0.9503927737474442
38087,social_isolation,risk_factor_of,adar_alzheimer_s_disease,0.945431223511696
44013,social_isolation,affects,m¯aori,0.9414405882358552
16253,social_isolation,risk_factor_of,mrf_paf,0.9329969048500062
44016,social_isolation,affects,aboriginal_and_torres_strait_islander_peoples,0.9197121918201447
44019,social_isolation,affects,torres_strait_islander,0.9192791938781739
15458,social_isolation,risk_factor_of,effective_management,0.9182904869318009
44014,social_isolation,affects,m¯aori_and_pacific_peoples,0.9164090961217881
44009,social_isolation,measured_by,work,0.915311360359192
21289,social_isolation,occurs_in,economic_strata,0.9095020949840547
26268,social_isolation,risk_factor_of,dementia_prevention,0.9059666752815247
16139,social_isolation,risk_factor_of,males,0.902628266811371
18033,social_isolation,measured_by,steptoe_social_isolation_index,0.8988716065883637
18025,social_isolation,risk_factor_of,risk_factors,0.8978765392303467
16258,social_isolation,occurs_in,later_years,0.8919664382934571
44018,social_isolation,affects,torres_strait_islander_peoples,0.8901062816381455
18073,social_isolation,occurs_in,age_groups,0.889889293909073
43234,social_isolation,occurs_in,old_age,0.8854305237531663
26446,social_isolation,risk_factor_of,men,0.8837973713874818
18072,social_isolation,occurs_in,older_age_groups,0.8706081867218018
18031,social_isolation,measured_by,five-point_steptoe_social_isolation_index,0.8678353190422059
43337,social_isolation,leads_to,dementia,0.8675541371107103
16278,social_isolation,treated_by,collective-level_interventions,0.8638056576251985
43280,social_isolation,measured_by,do_you_feel_socially_isolated?,0.8614406198263169
43998,social_isolation,measured_by,par,0.8579838812351228
43987,social_isolation,risk_factor_of,incident_dementia,0.848891055583954
16259,widowhood,risk_factor_of,social_isolation,0.8437612891197205
44011,social_isolation,measured_by,work_in_australia_and_aotearoa_new_zealand,0.8434881478548051
15366,isolation,occurs_in,xinjiang,0.842360144853592
15364,isolation,occurs_in,shandong,0.8415693849325181
15363,isolation,occurs_in,qinghai,0.8414745688438416
15365,isolation,occurs_in,shanxi,0.8378503233194352
43233,social_isolation,occurs_in,middle_aged,0.8342137426137924
16257,social_isolation,occurs_in,females,0.826444098353386
44021,social_isolation,affects,new_zealanders,0.8247674494981766
26445,social_isolation,risk_factor_of,women,0.8238364547491074
20873,social_isolation,risk_factor_of,early_life,0.8203071117401124
21299,programs,prevents,social_isolation,0.8171751886606217
15507,social_isolation,occurs_in,ses_group,0.8133296579122544
18034,social_isolation,measured_by,social_isolation_index,0.8127583920955659
17990,social_isolation,affects,family,0.8119641608953476
21263,social_isolation,risk_factor_of,attributable_cases,0.8086197435855866
18067,social_isolation_was_higher_in_men,risk_factor_of,dementia,0.8069313824176789
16169,social_isolation,leads_to,disparity,0.8034070938825608
16191,social_isolation,risk_factor_of,paf,0.8017000770568847
44010,social_isolation,measured_by,work_in_australia,0.8011725008487702
44000,social_isolation,affects,ethnic_groups,0.7959616869688034
18066,social_isolation,occurs_in,men,0.7915495872497559
16144,social_isolation,risk_factor_of,sex_gap,0.7903901100158692
15457,social_isolation,risk_factor_of,modifiable_dementia,0.7876996755599976
18053,later_life_social_isolation,associated_with,paf,0.7771680265665055
16260,caring_for_family_members,risk_factor_of,social_isolation,0.7765358746051789
15343,social_isolation,occurs_in,ses,0.7735992580652238
18052,later_life_social_isolation,risk_factor_of,paf,0.7713202744722367
44020,social_isolation,affects,nonindigenous_new_zealanders,0.7691172868013383
18026,social_isolation,measured_by,similar_definitions,0.7675315648317338
16292,social_isolation,risk_factor_of,iw-paf,0.767465314269066
18056,social_isolation,risk_factor_of,pafs,0.7660278207063675
18065,"diabetes,_and_social_isolation_was_higher_in_men",risk_factor_of,dementia,0.7536494791507722
16261,santini_et_al.,describes,social_isolation,0.7513000428676606
16137,social_isolation,risk_factor_of,mrf_paf_gap,0.7508442014455796
18032,social_isolation,measured_by,steptoe,0.7485191732645036
26424,social_isolation,occurs_in,same_household,0.7444842368364335
26425,social_isolation,occurs_in,household,0.7415621489286424
43999,social_isolation,affects,different_ethnic_groups,0.741465187072754
16189,social_isolation,risk_factor_of,paf_of_mrfs,0.7331713497638703
18035,social_isolation_index,measured_by,steptoe_social_isolation_index,0.6981855511665345
17794,social_isolation,have,larger_paf,0.6599999999999999
14934,social_isolation,exhibit,significant_upward_trend,0.65
14957,isolation,have,significant_increases,0.65
17791,largest_change,observe_with,social_isolation,0.65
17795,social_isolation,have_in,older_age_groups,0.65
23534,lancet_commission,report,social_isolation,0.65
29331,isolation,show,strong_induction,0.65
43212,social_isolation,show,significant_reduction,0.65
17694,dementia,than,social_isolation,0.6168521739130435
15993,proxy,for,social_isolation,0.6100000000000001
17768,social_contact,into,social_isolation,0.6000000000000001
17793,life_social_isolation,become_with,largest_paf,0.6000000000000001
21133,paf,for,social_isolation,0.6000000000000001
37821,prolonged_social_isolation,associate_with,decreased_cognitive_functioning,0.6000000000000001
41069,social_factors,like,isolation,0.6000000000000001
15029,unintended_consequences,like,social_isolation,0.55
15835,life_factors,including,social_isolation,0.55
15991,cohabitation_status,for,social_isolation,0.55
16032,refining_measurements,for,social_isolation,0.55
17769,social_isolation,with,cut_off,0.55
20693,potential_indicator,for,social_isolation,0.55
21160,large_paf,for,social_isolation,0.55
17732,social_isolation,have,social_contact,0.5151
15066,social_isolation,drive,socioeconomic_disparity,0.5
15988,social_isolation,prompt,proxies,0.5
21134,social_isolation,increase,income,0.5
21224,programs,reduce,social_isolation,0.5
26086,social_isolation,consider,family,0.5
26087,social_isolation,see,family,0.5
26240,social_isolation,rely,number,0.5
37918,social_isolation,report,insufficient_sleep,0.5
43174,physical_inactivity,increase,social_isolation,0.5
43193,less_social_isolation,than,younger_people,0.5
43621,social_isolation,highlight,work,0.5
15839,life_factors,include,social_isolation,0.45000000000000007
15904,overall_mrf_paf,drive,social_isolation,0.45000000000000007
15992,social_isolation,have,inherent_drawbacks,0.45000000000000007
15997,social_isolation,live,less_social_contact,0.45000000000000007
16383,isolation,assess,relative_importance,0.45000000000000007
17770,point_steptoe_isolation_index,derive,cohabitation,0.45000000000000007
17771,point_steptoe_isolation_index,incorporate,cohabitation,0.45000000000000007
17792,largest_change,observe,social_isolation,0.45000000000000007
20702,social_isolation,measure,dichotomous_measure,0.45000000000000007
29184,mice,use,islet_isolation,0.45000000000000007
29185,islet_isolation,anesthetize,cervical_dislocation,0.45000000000000007
29186,islet_isolation,sacrifice,cervical_dislocation,0.45000000000000007
43197,social_isolation,associate,greater_risk,0.45000000000000007
15054,ageing_females,experience,increased_social_isolation,0.4
15055,ageing_females,increase,increased_social_isolation,0.4
17799,life_social_isolation,have,less_contribution,0.4
37822,prolonged_social_isolation,associate,decreased_cognitive_functioning,0.4
37823,prolonged_social_isolation,decrease,decreased_cognitive_functioning,0.4
