triple_id,subject,predicate,object,confidence
15459,obesity,risk_factor_of,modifiable_dementia_risk,1.0
16135,obesity,risk_factor_of,females,1.0
21458,obesity,risk_factor_of,less_education,1.0
30440,diet-induced_obesity,occurs_in,minipigs,1.0
30441,diet-induced_obesity,occurs_in,mice,1.0
30444,obesity,occurs_in,minipigs,1.0
33768,obesity,risk_factor_of,dementia_and/or_alzheimer_s_disease,1.0
34166,obesity,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
35294,obesity,treated_by,equally_high-quality_treatment,1.0
35295,obesity,treated_by,high-quality_treatment,1.0
35296,obesity,treated_by,treatment,1.0
43810,obesity_epidemic,affects,adults,1.0
43813,obesity,associated_with,malnutrition,1.0
43809,obesity_epidemic,affects,children,0.9884055316448213
15339,obesity,risk_factor_of,new-onset_dementia,0.9798823654651643
23758,"alcohol_consumption,_obesity",risk_factor_of,dementia,0.9789871782064439
21457,"excessive_alcohol_consumption,_obesity",risk_factor_of,less_education,0.9782589554786683
33835,obesity,risk_factor_of,male,0.9770819187164308
15293,obesity,risk_factor_of,dementia,0.9761801499128342
43812,obesity,associated_with,persisting_malnutrition,0.9711998760700227
16854,obesity,occurs_in,rural,0.959106156229973
31905,obesity,affects,children,0.9554645837545395
15191,obesity,risk_factor_of,diabetes_mellitus,0.9551324635744096
43229,obesity,occurs_in,middle_aged,0.9507530421018602
38085,obesity,risk_factor_of,adar_alzheimer_s_disease,0.9483483493328095
18020,obesity,risk_factor_of,risk_factors,0.9414058129698037
15461,obesity,risk_factor_of,effective_management,0.9413005769252778
26265,obesity,risk_factor_of,dementia_prevention,0.9368789106607438
30456,obesity,risk_factor_of,alzheimer’s_disease,0.9355947330597311
16853,obesity,occurs_in,urban,0.9279987007379533
33833,obesity,risk_factor_of,those_assigned_male,0.9222368210554124
43808,obesity_epidemic,associated_with,malnutrition,0.9180908411741258
43805,salt,risk_factor_of,obesity,0.9143809467554094
33834,obesity,risk_factor_of,assigned_male,0.913859522342682
35266,obesity,treated_by,treated,0.912347921729088
31991,obesity,worsens,executive_function,0.9115983879566194
43804,fats,risk_factor_of,obesity,0.8981892555952073
43836,obesity,affects,pacific_islander,0.8939697831869127
35267,obesity,treated_by,treated_in_time,0.8828183174133302
43798,obesity,occurs_in,australasia,0.8811756461858751
16136,obesity,risk_factor_of,males,0.8801344573497774
43833,obesity,causes,hypertension,0.8800907820463182
16852,obesity,occurs_in,urban-rural,0.879461219906807
15192,obesity,risk_factor_of,hypertension,0.8779873043298723
32554,obesity,risk_factor_of,cerebrovascular_dysfunction,0.8741684168577195
36249,obesity,risk_factor_of,alzheimer_s_disease_related_dementia,0.8739697545766831
43807,obesity_epidemic,associated_with,persisting_malnutrition,0.871442797780037
43797,obesity,affects,adults,0.8682379662990571
23423,obesity,risk_factor_of,myocardial_infarction,0.8666860848665239
43803,sugars,risk_factor_of,obesity,0.864008927345276
31904,obesity,occurs_in,childhood,0.8608358836174013
26321,height,risk_factor_of,obesity,0.8590655714273454
37725,obesity_status,risk_factor_of,alzheimer_s_disease,0.8583135634660721
35162,obesity,risk_factor_of,dementia_risk,0.8572083175182343
20871,obesity,risk_factor_of,early_life,0.8522996962070466
26346,midlife,occurs_in,obesity,0.8518719762563707
43814,obesity,treated_by,public_health_policy,0.8514501094818117
43799,obesity,occurs_in,traditional_culinary_cultures,0.8505150884389878
37560,diagnosis_of_obesity,risk_factor_of,insulin,0.8502697110176087
15194,obesity,risk_factor_of,traumatic_brain_injury,0.8481724053621292
30147,obesity,occurs_in,mice,0.8475972056388855
38637,obesity,occurs_in,midlife,0.845848897099495
31972,midlife_window,risk_factor_of,obesity,0.8455860918760301
43806,reduced_opportunity_for_physical_activity,risk_factor_of,obesity,0.8376803159713746
18892,obesity,risk_factor_of,risk_factors_for_dementia,0.8375815212726594
16628,central_obesity,occurs_in,children,0.8358613342046738
37562,obesity,risk_factor_of,insulin,0.8350943565368653
43835,obesity,affects,m¯aori,0.8337809205055238
16824,obesity,leads_to,increased_blood_pressure,0.831017130613327
21036,obesity,risk_factor_of,spd,0.8283806532621384
15193,obesity,risk_factor_of,depression,0.8280011206865311
22011,obesity,risk_factor_of,osa,0.8262323826551438
15460,obesity,risk_factor_of,modifiable_dementia,0.825788027048111
26372,obesity,risk_factor_of,diabetes,0.8246751368045807
16823,obesity,causes,insulin_resistance,0.823404797911644
35085,obesity,part_of,cardiovascular_risk_factors,0.8223862290382385
16171,obesity,leads_to,disparity,0.8178483307361604
46446,obesity,causes,cognitive_function_decline,0.8147621363401414
30439,diet-induced_obesity,causes,obesity,0.811225911974907
43837,obesity,affects,pacific_islander_groups,0.8084002047777177
31901,childhood_obesity_rates,occurs_in,childhood,0.8064063048362732
35114,obesity,causes,potential_racial_differences,0.8060283273458482
16869,hypertension,associated_with,obesity,0.8052719473838806
19094,obesity,risk_factor_of,prism,0.8040852934122086
20916,obesity,occurs_in,black_adults,0.802769309282303
18021,obesity,measured_by,similar_definitions,0.8013065218925477
43801,"foods_and_beverages_rich_in_sugars,_fats,_and_salt",risk_factor_of,obesity,0.8011958360671998
31992,obesity,causes,negative_effects,0.8006014233827592
30445,obesity,treated_by,selective_knockout,0.8005503624677659
13511,obesity,risk_factor_of,cardiovascular_risk_factors,0.7977594375610352
20937,obesity,affects,american_indian/alaskan_native,0.7971485644578934
38827,obesity,affects,leptin,0.7948862552642822
31903,obesity,affects,childhood,0.7943651562929153
48849,review,describes,obesity,0.7920763283967972
16878,general_and_central_obesity,occurs_in,children,0.7854066997766496
43802,rich_in_sugars,risk_factor_of,obesity,0.7843114644289018
35161,obesity,risk_factor_of,high_dementia_risk,0.7829761266708375
32555,obesity,risk_factor_of,cardiovascular_disease,0.7824397772550583
16862,childhood,associated_with,obesity,0.7823919892311096
18077,education,risk_factor_of,obesity,0.7815521895885468
26352,pafs,risk_factor_of,obesity,0.7801614165306092
29637,bont/b,leads_to,central_obesity,0.77986199259758
35115,obesity,risk_factor_of,racial_differences,0.779595696926117
16291,obesity,risk_factor_of,iw-paf,0.7764210313558579
43811,obesity_epidemic,treated_by,public_health_policy,0.7761934906244279
30450,selective_knockout_of_leptin_receptors,prevents,obesity,0.7761923283338548
16798,obesity,associated_with,childhood_hypertension,0.7738215684890748
30172,diet-induced_obesity,occurs_in,animal_models,0.7712460219860078
22386,obesity,risk_factor_of,vascular_risk_factors,0.7706304997205735
31902,childhood_obesity_rates,affects,children,0.770287857055664
15506,obesity,treated_by,lifestyle_interventions,0.7700536012649537
37561,diagnosis_of_obesity,risk_factor_of,semaglutide,0.7696839481592179
30446,obesity,treated_by,selective_knockout_of_leptin_receptors,0.7642485857009889
15505,obesity,treated_by,tailored_lifestyle_interventions,0.7629216521978379
31906,obesity,affects,children_with_obesity,0.7620923227071763
16797,obesity,risk_factor_of,childhood_hypertension,0.7600520908832551
30455,midlife_obesity,risk_factor_of,alzheimer’s_disease,0.7575632214546204
30442,diet-induced_obesity,treated_by,selective_knockout,0.7564128667116166
16632,obesity,associated_with,obesity_phenotype,0.7534802317619325
16868,hypertension,associated_with,obesity_phenotype,0.7509659290313722
30452,selective_knockout_of_leptin_receptors_in_tanycytes,prevents,obesity,0.748543804883957
32553,midlife_hypertension_and_obesity,risk_factor_of,cerebrovascular_dysfunction,0.7475284069776535
35248,obesity,risk_factor_of,dementia_risk_factors,0.747004932165146
48846,recent_review,describes,obesity,0.745115226507187
16861,childhood,associated_with,obesity_phenotype,0.742919883131981
16855,obesity_phenotype,occurs_in,rural,0.7419927775859834
35113,obesity,risk_factor_of,potential_racial_differences,0.7412319242954255
16134,obesity,risk_factor_of,mrf_paf_gap,0.7405806839466096
16881,awaist_circumferenceo,prevents,general_and_central_obesity,0.7386389404535294
18075,less_education,risk_factor_of,obesity,0.7382978111505509
20936,obesity,affects,american_indian/alaskan_native_adults,0.7344909518957139
26345,obesity_in_midlife,occurs_in,obesity,0.7341600120067597
35084,"high_blood_pressure,_obesity",part_of,cardiovascular_risk_factors,0.7334174424409867
16796,obesity,associated_with,increased_odds_of_childhood_hypertension,0.7329803317785264
16281,obesity,treated_by,collective-level_interventions,0.731513610482216
30438,diet-induced_obesity,causes,impaired_transport,0.7209824055433274
16880,awnco,prevents,general_and_central_obesity,0.7138335585594178
30171,diet-induced_obesity,occurs_in,various_animal_models,0.7051477611064911
16879,nwaist_circumferenceo,prevents,general_and_central_obesity,0.7008290469646454
16552,obesity,could_induce,changes,0.7
26142,obesity,emerge_in,meta_analysis,0.7
43147,body_mass_index,determine,obesity,0.7
16877,alleviating,prevents,general_and_central_obesity,0.6853222578763962
30443,diet-induced_obesity,treated_by,selective_knockout_of_leptin_receptors,0.6843797743320466
16290,"low_education,_obesity",risk_factor_of,iw-paf,0.6820589929819107
26143,obesity,emerge_as,major_contributors,0.65
26153,obesity,has_become,major_concern,0.65
28982,objectives,have_fuel,obesity_epidemic,0.65
29018,introduction_obesity,type,diabetes,0.65
36421,increasing_number,have_link,obesity,0.65
36559,obesity,increase_with,greater_effect,0.65
37421,obesity,recognize_as,major_modifiable_risk_factor,0.65
