triple_id,subject,predicate,object,confidence
15227,smoking,risk_factor_of,dementia,1.0
14105,current_smoking,define_as,current_smoking,1.0
14106,physical_activity,define,current_smoking,1.0
14528,current_smoking_status,risk_factor_of,cognitive_impairment,1.0
14665,smoking,associated_with,cardiovascular_diseases,1.0
14672,quitting,prevents,smoking,1.0
14673,quitting_smoking,prevents,smoking,1.0
15413,efforts,prevents,smoking,1.0
18111,tobacco_control,prevents,smoking,1.0
19494,smoking,measured_by,self-report,1.0
21265,prevention_strategies,prevents,smoking,1.0
28767,smoking,risk_factor_of,constipation,1.0
40256,smoking_status,measured_by,self-reports,1.0
43845,smoking,prevents,parkinson_disease,1.0
43846,smoking,risk_factor_of,dlb,1.0
46284,lifestyle_covariates,include,smoking_status,1.0
46285,lifestyle_covariates,include,smoking,1.0
47042,smoking,risk_factor_of,dementia-free,1.0
49518,smoking,risk_factor_of,comorbidities,1.0
49546,smoking,risk_factor_of,depression,1.0
49547,smoking,risk_factor_of,depression_status_groups,1.0
49548,smoking_and_alcohol_consumption,risk_factor_of,depression,1.0
14679,smoking_cessation,occurs_in,early_middle_age,0.9992679864168168
14623,"low_literacy,_smoking",risk_factor_of,cognitive_impairment,0.9989720940589906
23922,smoking,risk_factor_of,familial_alzheimer_s_disease,0.9986692279577256
21459,smoking,risk_factor_of,less_education,0.9973513245582581
49519,smoking,risk_factor_of,hypertension,0.9972338020801546
26381,laws,prevents,smoking,0.9968502908945085
14669,smoking,causes,diseases,0.9908886790275575
14680,smoking_cessation,occurs_in,middle_age,0.9886721909046174
15410,these_efforts,prevents,smoking,0.9884301185607911
49549,smoking_and_alcohol_consumption,risk_factor_of,depression_status_groups,0.9784631609916687
43751,alcohol_and_smoking,risk_factor_of,dementia,0.9734338432550431
49896,current_smoking,risk_factor_of,mortality,0.9716265708208085
15380,smoking,risk_factor_of,risk_factors,0.9701812739312647
14666,smoking,associated_with,diseases,0.9642953366041185
49520,smoking_and_alcohol_consumption,risk_factor_of,comorbidities,0.9636548221111298
14675,early_smoking_cessation,occurs_in,early_middle_age,0.9596720516681672
46643,smoking_status,risk_factor_of,alzheimer_s_disease-dr,0.9540458500385285
26380,stringent_laws,prevents,smoking,0.9480305522680283
14668,smoking,causes,cardiovascular_system_diseases,0.9438810437917711
46575,vlsfas,associated_with,smoking_status,0.9436546593904496
14676,early_smoking_cessation,occurs_in,middle_age,0.9410518914461137
38084,smoking,risk_factor_of,adar_alzheimer_s_disease,0.9382501006126405
23923,smoking,risk_factor_of,alzheimer_s_disease,0.9371017639549969
14529,"current_smoking_status,_sleep_disorders",risk_factor_of,cognitive_impairment,0.9339363038539887
14609,smoking,risk_factor_of,cognitive_impairment,0.9328801423311235
14664,smoking,associated_with,cardiovascular,0.931449317932129
20977,smoking,measured_by,questions,0.928489050269127
50736,smoking,risk_factor_of,epilepsy,0.928237819671631
26266,smoking,risk_factor_of,dementia_prevention,0.92442045211792
18070,smoking,risk_factor_of,traumatic_brain_injury,0.922551402449608
23048,smoking,part_of,brain_care_score,0.9221661001443864
49521,smoking_and_alcohol_consumption,risk_factor_of,hypertension,0.9179283440113069
33791,smoking_status,risk_factor_of,dementia,0.9176494798064232
23049,smoking,risk_factor_of,incident_dementia,0.9103756457567216
18108,tobacco_control_policies,prevents,smoking,0.9035340458154679
14663,smoking,associated_with,respiratory,0.9024786442518236
20976,smoking,measured_by,series_of_questions,0.9012094199657441
43231,smoking,occurs_in,old_age,0.9006252825260164
21266,strategies,prevents,smoking,0.8983083456754686
40261,snps,associated_with,smoking_behaviors,0.8971041679382326
14678,smoking_cessation,prevents,smoking,0.8970435053110124
19009,current_smoking,risk_factor_of,diabetes,0.8949713170528413
33792,smoking_status,risk_factor_of,dementia_and/or_alzheimer_s_disease,0.8877335518598557
19095,smoking,causes,decline,0.8765859812498094
15196,smoking,risk_factor_of,diabetes_mellitus,0.8694539904594423
23163,smoking,risk_factor_of,cognition_impairment,0.8687432020902635
40263,alcohol_consumption,associated_with,smoking_behaviors,0.8679386764764787
18047,smoking,associated_with,paf,0.8648002237081529
46667,vlsfa,associated_with,smoking_status,0.8622997283935547
50604,smoking,risk_factor_of,stroke,0.860555136203766
15416,physical_activity,prevents,smoking,0.8596608877182008
18045,later_life_smoking,associated_with,paf,0.8571580260992051
50602,current_smoking,risk_factor_of,stroke,0.8568154633045197
14674,early_smoking_cessation,prevents,smoking,0.853549873828888
15536,public_health_initiatives,prevents,smoking,0.8522986233234406
40255,smoking,measured_by,self-reports,0.8493447015047073
46595,smoking_status,risk_factor_of,global_cognitive_function,0.8488831400871277
26385,smoking,causes,dementia,0.8486888647079468
26447,smoking,risk_factor_of,men,0.8462687522172928
43230,smoking,occurs_in,middle_aged,0.8438519477844239
15535,traditional_public_health_initiatives,prevents,smoking,0.83948772251606
43847,tobacco_smoking,risk_factor_of,dementia,0.8374399036169052
33793,smoking_status,risk_factor_of,alzheimer_s_disease,0.8364371538162232
15226,smoking,risk_factor_of,new-onset_dementia,0.8356139421463014
15374,smoking,risk_factor_of,dementia_risk,0.8343002855777741
21300,programs,prevents,smoking,0.8336305409669876
14682,cessation,prevents,smoking,0.8331645518541336
50735,smoking,causes,adverse_effect,0.8291051626205445
16172,smoking,leads_to,disparity,0.8290436476469041
21264,smoking,risk_factor_of,attributable_cases,0.8249488085508347
18046,smoking,risk_factor_of,paf,0.8236942529678345
18893,smoking,risk_factor_of,risk_factors_for_dementia,0.8234004586935044
14610,smoking,associated_with,cognitive_impairment,0.8214302450418473
38844,current_smoking,risk_factor_of,cardiovascular_risk_factors,0.8183648347854615
46642,smoking_status,risk_factor_of,rcs_analysis,0.8169871151447297
19067,current_smoking,risk_factor_of,hazard_for_developing_dementia,0.8105940699577332
18071,smoking,causes,traumatic_brain_injury,0.8085665494203568
20872,smoking,risk_factor_of,early_life,0.8072338908910752
46615,smoking_status,risk_factor_of,composite_z-scores,0.8033088773488999
23040,smoking,risk_factor_of,impaired_cognition,0.8024149924516678
