triple_id,subject,predicate,object,confidence
23211,vision,risk_factor_of,risk_factors,0.9862746089696885
23210,vision,risk_factor_of,model_is_by_evaluating_a_wider_range_of_risk_factors,0.9805402219295503
47701,interventions_to_preserve_vision,prevents,dementia,0.9626806437969209
29998,trajectories,measured_by,ethovision_video_tracking_equipment,0.9147591322660447
29997,trajectories,measured_by,ethovision,0.8948842316865921
47698,dementia,treated_by,interventions_to_preserve_vision,0.8763017565011979
47702,interventions_to_preserve_vision,prevents,dementia_risk,0.8083798617124558
47700,interventions_to_preserve_vision,prevents,cardiovascular_diseases,0.7732376962900163
19134,division_of_health_of_hisayama,part_of,division_of_health,0.7597413986921311
47699,dementia_risk,treated_by,interventions_to_preserve_vision,0.73064184486866
33693,b.b.preparedthemanuscript,provide,critical_revisions,0.6000000000000001
17112,great_help,during,revision,0.55
22330,implica­_tions,for,provision,0.5
22961,vision,read,history,0.5
47407,interventions,preserve,vision,0.5
50054,vision_loss,withdraw,consent,0.5
17346,research_assistants,monitor,supervision,0.45000000000000007
17347,research_assistants,provide,supervision,0.45000000000000007
17348,supervision,participate,participating_clinics,0.45000000000000007
29295,mice,record,ethovision,0.45000000000000007
29296,mice,use,ethovision,0.45000000000000007
33694,authors,provide,critical_revisions,0.45000000000000007
37096,supervision,write,original_draft,0.45000000000000007
