subject,predicate,object,confidence
smoking,risk_factor_of,dementia,1.0
diet,risk_factor_of,dementia,1.0
alcohol_use,risk_factor_of,dementia,1.0
increased_literacy,risk_factor_of,dementia,1.0
literacy,risk_factor_of,dementia,1.0
drinking,risk_factor_of,dementia,1.0
multiple_modifiable_risk_factors,risk_factor_of,dementia,1.0
obstructive_sleep_apnea,risk_factor_of,dementia,1.0
group_of_risk_factors,risk_factor_of,dementia,1.0
hypercholesterolemia,risk_factor_of,dementia,1.0
severe_risk_factors,risk_factor_of,dementia,1.0
alcohol_abuse,risk_factor_of,dementia,1.0
higher_education_level,risk_factor_of,dementia,1.0
psychosocial_items,risk_factor_of,dementia,1.0
attained_age,risk_factor_of,dementia,1.0
items_with_significant_associations,risk_factor_of,dementia,1.0
potential_confounding_variables,risk_factor_of,dementia,1.0
specific_risk_factors,risk_factor_of,dementia,1.0
future_estimation,risk_factor_of,dementia,1.0
known_risk_factors,risk_factor_of,dementia,1.0
educational_level,risk_factor_of,dementia,1.0
elevated_risk_factors,risk_factor_of,dementia,1.0
chd,risk_factor_of,dementia,1.0
alcohol_use_disorders,risk_factor_of,dementia,1.0
cholesterol,risk_factor_of,dementia,0.99
potentially_reversible_dementia,risk_factor_of,dementia,0.99
depression,risk_factor_of,dementia,0.99
blood_pressure,risk_factor_of,dementia,0.99
heavy_drinking,risk_factor_of,dementia,0.99
age_alone,risk_factor_of,dementia,0.99
excessive_alcohol_use,risk_factor_of,dementia,0.99
air_pollution,risk_factor_of,dementia,0.99
socio-economic_status,risk_factor_of,dementia,0.98
systemic_racism,risk_factor_of,dementia,0.98
increase_dementia_risk,risk_factor_of,dementia,0.98
sleep,risk_factor_of,dementia,0.98
family_history,risk_factor_of,dementia,0.98
old_age,risk_factor_of,dementia,0.98
hearing_loss,risk_factor_of,dementia,0.98
smaller_bmi,risk_factor_of,dementia,0.98
"alcohol_consumption,_obesity",risk_factor_of,dementia,0.98
exposed,risk_factor_of,dementia,0.98
visual_impairment,risk_factor_of,dementia,0.98
social_deprivation,risk_factor_of,dementia,0.98
