subject,predicate,object,confidence,category
smoking,risk_factor_of,dementia,1.0,1
diet,risk_factor_of,dementia,1.0,6
alcohol_use,risk_factor_of,dementia,1.0,2
increased_literacy,risk_factor_of,dementia,1.0,4
literacy,risk_factor_of,dementia,1.0,2
drinking,risk_factor_of,dementia,1.0,2
multiple_modifiable_risk_factors,risk_factor_of,dementia,1.0,5
obstructive_sleep_apnea,risk_factor_of,dementia,1.0,6
group_of_risk_factors,risk_factor_of,dementia,1.0,5
hypercholesterolemia,risk_factor_of,dementia,1.0,2
severe_risk_factors,risk_factor_of,dementia,1.0,5
alcohol_abuse,risk_factor_of,dementia,1.0,2
higher_education_level,risk_factor_of,dementia,1.0,4
psychosocial_items,risk_factor_of,dementia,1.0,6
attained_age,risk_factor_of,dementia,1.0,7
items_with_significant_associations,risk_factor_of,dementia,1.0,4
potential_confounding_variables,risk_factor_of,dementia,1.0,4
specific_risk_factors,risk_factor_of,dementia,1.0,5
future_estimation,risk_factor_of,dementia,1.0,4
known_risk_factors,risk_factor_of,dementia,1.0,5
educational_level,risk_factor_of,dementia,1.0,2
elevated_risk_factors,risk_factor_of,dementia,1.0,5
chd,risk_factor_of,dementia,1.0,2
alcohol_use_disorders,risk_factor_of,dementia,1.0,2
cholesterol,risk_factor_of,dementia,0.99,2
potentially_reversible_dementia,risk_factor_of,dementia,0.99,4
depression,risk_factor_of,dementia,0.99,1
blood_pressure,risk_factor_of,dementia,0.99,2
heavy_drinking,risk_factor_of,dementia,0.99,2
age_alone,risk_factor_of,dementia,0.99,7
excessive_alcohol_use,risk_factor_of,dementia,0.99,2
air_pollution,risk_factor_of,dementia,0.99,1
socio-economic_status,risk_factor_of,dementia,0.98,6
systemic_racism,risk_factor_of,dementia,0.98,6
increase_dementia_risk,risk_factor_of,dementia,0.98,5
sleep,risk_factor_of,dementia,0.98,6
family_history,risk_factor_of,dementia,0.98,7
old_age,risk_factor_of,dementia,0.98,7
hearing_loss,risk_factor_of,dementia,0.98,1
smaller_bmi,risk_factor_of,dementia,0.98,4
"alcohol_consumption,_obesity",risk_factor_of,dementia,0.98,3
exposed,risk_factor_of,dementia,0.98,4
visual_impairment,risk_factor_of,dementia,0.98,2
social_deprivation,risk_factor_of,dementia,0.98,2
high_cholesterol,risk_factor_of,dementia,0.98,1
obesity,risk_factor_of,dementia,0.98,1
key_modifiable_risk_factors,risk_factor_of,dementia,0.98,5
potentially_modifiable_dementia_risk_factors,risk_factor_of,dementia,0.97,5
alcohol_and_smoking,risk_factor_of,dementia,0.97,3
ppi,risk_factor_of,dementia,0.97,6
modifiable_dementia_risk_factors,risk_factor_of,dementia,0.97,5
kidney_disease,risk_factor_of,dementia,0.97,6
cardiovascular_and_metabolic_disease,risk_factor_of,dementia,0.97,3
age_at_dementia_diagnosis,risk_factor_of,dementia,0.97,6
myocardial_infarction,risk_factor_of,dementia,0.97,2
loneliness,risk_factor_of,dementia,0.97,2
new_dementia_risk_factors,risk_factor_of,dementia,0.97,5
use_of_hypertensive_medications,risk_factor_of,dementia,0.97,2
low_education,risk_factor_of,dementia,0.97,2
younger_age,risk_factor_of,dementia,0.96,4
sex,risk_factor_of,dementia,0.96,7
genetic_background,risk_factor_of,dementia,0.96,7
risk_factors,risk_factor_of,dementia,0.96,5
mid-life_risk,risk_factor_of,dementia,0.96,2
health_insurance,risk_factor_of,dementia,0.96,6
metabolic_disease,risk_factor_of,dementia,0.96,7
aging,risk_factor_of,dementia,0.96,7
social_isolation,risk_factor_of,dementia,0.96,1
tbi,risk_factor_of,dementia,0.96,2
cvd,risk_factor_of,dementia,0.96,2
age,risk_factor_of,dementia,0.96,7
lifestyle_factors,risk_factor_of,dementia,0.95,5
hypertension,risk_factor_of,dementia,0.95,1
genetic_predisposition,risk_factor_of,dementia,0.95,7
education_level,risk_factor_of,dementia,0.95,2
less_education,risk_factor_of,dementia,0.95,1
