subject,predicate,object,confidence,category
diet,risk_factor_of,dementia,1.0,1
obstructive_sleep_apnea,risk_factor_of,dementia,1.0,2
psychosocial_items,risk_factor_of,dementia,1.0,3
socio-economic_status,risk_factor_of,dementia,0.98,4
systemic_racism,risk_factor_of,dementia,0.98,5
sleep,risk_factor_of,dementia,0.98,2
ppi,risk_factor_of,dementia,0.97,6
kidney_disease,risk_factor_of,dementia,0.97,7
age_at_dementia_diagnosis,risk_factor_of,dementia,0.97,9
health_insurance,risk_factor_of,dementia,0.96,4
racial_factor,risk_factor_of,dementia,0.95,5
total_household_income,risk_factor_of,dementia,0.95,4
geographic_location,risk_factor_of,dementia,0.95,10
unhealthy_sleep_duration,risk_factor_of,dementia,0.95,2
social_disadvantage,risk_factor_of,dementia,0.95,5
low_socioeconomic_status,risk_factor_of,dementia,0.94,4
racial_disparities,risk_factor_of,dementia,0.94,5
employment,risk_factor_of,dementia,0.93,3
occupation,risk_factor_of,dementia,0.93,3
poor_diet,risk_factor_of,dementia,0.92,1
ultra-processed_foods,risk_factor_of,dementia,0.91,1
household_income,risk_factor_of,dementia,0.91,4
low_ses,risk_factor_of,dementia,0.9,4
limited_mobility,risk_factor_of,dementia,0.9,8
hand_grip_strength,risk_factor_of,dementia,0.9,8
geographical_differences,risk_factor_of,dementia,0.89,10
residence,risk_factor_of,dementia,0.89,10
socioeconomic,risk_factor_of,dementia,0.89,4
stress-related_disorder,risk_factor_of,dementia,0.89,3
social_determinants_of_health,risk_factor_of,dementia,0.88,3
osa,risk_factor_of,dementia,0.87,2
addiction_to_drugs,risk_factor_of,dementia,0.87,6
environmental_experiences,risk_factor_of,dementia,0.87,3
stressful_life_events,risk_factor_of,dementia,0.87,3
ses,risk_factor_of,dementia,0.86,4
healthcare_accessibility,risk_factor_of,dementia,0.85,4
racial_bias,risk_factor_of,dementia,0.85,5
income,risk_factor_of,dementia,0.85,4
use_of_proton-pump_inhibitors,risk_factor_of,dementia,0.85,6
socioeconomic_differences,risk_factor_of,dementia,0.85,4
use_of_proton-pump_inhibitors_or_benzodiazepines,risk_factor_of,dementia,0.85,6
specific_psychosocial_patterns,risk_factor_of,dementia,0.84,3
menopause,risk_factor_of,dementia,0.82,12
cultural_factors,risk_factor_of,dementia,0.82,11
cognitively_stimulating_activities,risk_factor_of,dementia,0.81,13
psychosocial_adversity,risk_factor_of,dementia,0.81,3
psychosocial_state,risk_factor_of,dementia,0.81,3
systemic_racial_bias,risk_factor_of,dementia,0.81,5
known_or_suspected_osa,risk_factor_of,dementia,0.81,2
sleep_disturbances,risk_factor_of,dementia,0.81,2
poor_sleep_health,risk_factor_of,dementia,0.81,2
stress,risk_factor_of,dementia,0.8,3
early-life_sociological_and_developmental_factors,risk_factor_of,dementia,0.8,3
diet_variation,risk_factor_of,dementia,0.79,1
main_adulthood_occupation,risk_factor_of,dementia,0.79,3
systemic_racial_bias_in_healthcare,risk_factor_of,dementia,0.79,5
ppi_use,risk_factor_of,dementia,0.79,6
use_of_antihypertensive_agents,risk_factor_of,dementia,0.78,6
social_systems,risk_factor_of,dementia,0.78,10
socioeconomic_status,risk_factor_of,dementia,0.78,4
psychosocial_patterns,risk_factor_of,dementia,0.78,3
psychosocial_factors,risk_factor_of,dementia,0.78,3
age_at_diagnosis,risk_factor_of,dementia,0.78,9
exhaustion,risk_factor_of,dementia,0.78,3
first_dementia_diagnosis,risk_factor_of,dementia,0.78,9
socioeconomic_deprivation,risk_factor_of,dementia,0.77,4
sociological_and_developmental_factors,risk_factor_of,dementia,0.77,3
sociocultural,risk_factor_of,dementia,0.76,11
geopolitical,risk_factor_of,dementia,0.75,10
distinct_psychosocial_patterns,risk_factor_of,dementia,0.75,3
date_of_first_dementia_diagnosis,risk_factor_of,dementia,0.75,9
environmental_experiences_and_exposures,risk_factor_of,dementia,0.75,3
time_to_diagnosis,risk_factor_of,dementia,0.75,9
socioeconomic_state,risk_factor_of,dementia,0.75,4
low_social_contact_or_socioeconomic_state,risk_factor_of,dementia,0.74,4
disparities_in_social_determinants_of_health,risk_factor_of,dementia,0.73,3
area-level_ses,risk_factor_of,dementia,0.73,4
geopolitical_diversity,risk_factor_of,dementia,0.73,10
