term,category,rule,subject,object
assessed,medical_study,excl,1,1
assessment,medical_study,excl,1,1
assessments,medical_study,excl,1,1
cohort,medical_study,excl,1,1
cohorts,medical_study,excl,1,1
individual,medical_study,excl,1,1
individuals,medical_study,excl,1,1
interview,medical_study,excl,1,1
interviews,medical_study,excl,1,1
machine learning,biomedical,excl,1,1
men,biomedical,excl_only,1,0
participant,medical_study,excl,1,1
participants,medical_study,excl,1,1
patient,biomedical,excl,1,1
patients,biomedical,excl,1,1
population,medical_study,excl,1,1
populations,medical_study,excl,1,1
questionnaire,medical_study,excl,1,1
questionnaires,medical_study,excl,1,1
reassessed,medical_study,excl,1,1
studies,medical_study,excl,1,1
study,medical_study,excl,1,1
survey,medical_study,excl,1,1
surveys,medical_study,excl,1,1
informants,medical_study,excl,1,1
women,biomedical,excl_only,1,0
gender,biomedical,excl_only,1,1
modifier,biomedical,excl_only,1,1
follow_time,biomedical,excl_only,1,1
hubei,geography,excl,1,1
tianjin,geography,excl,1,1
beijing,geography,excl,1,1
shanghai,geography,excl,1,1
anhui,geography,excl,1,1
hebei,geography,excl,1,1
prevention,biomedical,excl_only,1,0
treated,biomedical,excl_only,1,0
absence,biomedical,excl_only,1,0
status,biomedical,excl_only,1,0
social,biomedical,excl_only,1,1
damage,biomedical,excl_only,1,0
visit,biomedical,excl_only,1,1
values,biomedical,excl_only,1,1
task,medical_study,excl_only,1,1
struggled,biomedical,excl_only,1,1
