term,category,rule,subject,object
access,generic,excl_only,1,1
al,abbreviation,excl_only,1,1
analyses,academic_syntax,excl_only,1,1
analysis,academic_syntax,excl_only,1,1
approach,academic_syntax,excl_only,1,1
area,statistics,excl_only,1,1
association,academic_syntax,excl_only,1,1
associations,academic_syntax,excl_only,1,1
audio,modal,excl_only,1,1
baseline,academic_syntax,excl_only,1,1
baseline data,academic_syntax,excl_only,1,1
basic,generic,excl_only,1,1
best,comparator,excl_only,1,1
case,generic,excl_only,1,1
cases,generic,excl_only,1,1
cause,generic,excl_only,1,1
chart,modal,excl_only,1,1
charts,modal,excl_only,1,1
core,generic,excl_only,1,1
current research,academic_syntax,excl_only,1,1
current results,academic_syntax,excl_only,1,1
current study,academic_syntax,excl_only,1,1
currently,academic_syntax,excl_only,1,1
data,academic_syntax,excl_only,1,1
data analysis,academic_syntax,excl_only,1,1
dataset,academic_syntax,excl_only,1,1
datasets,academic_syntax,excl_only,1,1
details,generic,excl_only,1,1
difference,comparator,excl_only,1,1
differences,comparator,excl_only,1,1
effect,generic,excl_only,1,1
effect size,generic,excl_only,1,1
effects,generic,excl_only,1,1
et,abbreviation,excl_only,1,1
example,generic,excl_only,1,1
examples,generic,excl_only,1,1
exception,generic,excl_only,1,1
exceptions,generic,excl_only,1,1
factor,generic,excl_only,1,1
factors,generic,excl_only,1,1
feature,generic,excl_only,1,1
features,generic,excl_only,1,1
fig,academic_syntax,excl_only,1,1
figs,academic_syntax,excl_only,1,1
figure,academic_syntax,excl_only,1,1
figures,academic_syntax,excl_only,1,1
final,comparator,excl_only,1,1
finding,academic_syntax,excl_only,1,1
findings,academic_syntax,excl_only,1,1
future,academic_syntax,excl_only,1,1
future research,academic_syntax,excl_only,1,1
future risk,academic_syntax,excl_only,1,1
future studies,academic_syntax,excl_only,1,1
graph,academic_syntax,excl_only,1,1
graphs,academic_syntax,excl_only,1,1
low,comparator,excl_only,1,1
high,comparator,excl_only,1,1
higher,comparator,excl_only,1,1
image,modal,excl_only,1,1
images,modal,excl_only,1,1
impact,generic,excl_only,1,1
impacts,generic,excl_only,1,1
impacted,generic,excl_only,1,1
improve,comparator,excl_only,1,1
improved,comparator,excl_only,1,1
index,academic_syntax,excl_only,1,1
indices,academic_syntax,excl_only,1,1
influence,generic,excl_only,1,1
information,generic,excl_only,1,1
initial,comparator,excl_only,1,1
item,generic,excl_only,1,1
items,generic,excl_only,1,1
large,comparator,excl_only,1,1
lower,comparator,excl_only,1,1
mean,statistics,excl_only,1,1
means,generic,excl_only,1,1
measure,academic_syntax,excl_only,1,1
measures,academic_syntax,excl_only,1,1
medium,comparator,excl_only,1,1
method,academic_syntax,excl_only,1,1
methods,academic_syntax,excl_only,1,1
metric,academic_syntax,excl_only,1,1
metrics,academic_syntax,excl_only,1,1
model,academic_syntax,excl_only,1,1
models,academic_syntax,excl_only,1,1
moment,temporal,excl_only,1,1
need,generic,excl_only,1,1
object,modal,excl_only,1,1
odds,generic,excl_only,1,1
other hand,phrases,excl_only,1,1
outcome,academic_syntax,excl_only,1,1
outcome measure,academic_syntax,excl_only,1,1
outcome variable,academic_syntax,excl_only,1,1
outcomes,academic_syntax,excl_only,1,1
people,generic,excl_only,1,1
percentile,statistics,excl_only,1,1
person,generic,excl_only,1,1
photo,modal,excl_only,1,1
picture,modal,excl_only,1,1
plot,statistics,excl_only,1,1
plots,statistics,excl_only,1,1
point,statistics,excl_only,1,1
points,statistics,excl_only,1,1
predict,academic_syntax,excl_only,1,1
present,academic_syntax,excl_only,1,1
present findings,academic_syntax,excl_only,1,1
present study,academic_syntax,excl_only,1,1
prevalent,academic_syntax,excl_only,1,1
prevalence,academic_syntax,excl,1,1
prevalences,academic_syntax,excl,1,1
previous,academic_syntax,excl_only,1,1
previous findings,academic_syntax,excl_only,1,1
previous research,academic_syntax,excl_only,1,1
prior research,academic_syntax,excl_only,1,1
prior studies,academic_syntax,excl_only,1,1
problem,academic_syntax,excl_only,1,1
relationship,academic_syntax,excl_only,1,1
relationships,academic_syntax,excl_only,1,1
research,academic_syntax,excl_only,1,1
research results,academic_syntax,excl_only,1,1
researchers,academic_syntax,excl_only,1,1
result,academic_syntax,excl_only,1,1
results,academic_syntax,excl_only,1,1
risk,academic_syntax,excl_only,1,1
risk factor,academic_syntax,excl_only,1,1
risks,academic_syntax,excl_only,1,1
roles,generic,excl_only,1,1
sample,academic_syntax,excl_only,1,1
samples,academic_syntax,excl_only,1,1
scale,generic,excl_only,1,1
scales,generic,excl_only,1,1
science,generic,excl_only,1,1
score,generic,excl_only,1,1
scores,generic,excl_only,1,1
self,generic,excl_only,1,1
service,generic,excl_only,1,1
set,statistics,excl_only,1,1
similar,comparator,excl_only,1,1
small,comparator,excl_only,1,1
specific,generic,excl_only,1,1
state,generic,excl_only,1,1
step,academic_syntax,excl_only,1,1
steps,academic_syntax,excl_only,1,1
subject,academic_syntax,excl_only,1,1
subjects,academic_syntax,excl_only,1,1
sum,statistics,excl_only,1,1
supporting,academic_syntax,excl_only,1,1
table,modal,excl_only,1,1
tables,modal,excl_only,1,1
targeting,academic_syntax,excl_only,1,1
test,academic_syntax,excl_only,1,1
test results,academic_syntax,excl_only,1,1
tests,academic_syntax,excl_only,1,1
threshold,statistics,excl_only,1,1
tool,generic,excl_only,1,1
tools,generic,excl_only,1,1
tries,generic,excl_only,1,1
type,generic,excl_only,1,1
types,generic,excl_only,1,1
validated,academic_syntax,excl_only,1,1
variable,statistics,excl_only,1,1
variables,statistics,excl_only,1,1
video,modal,excl_only,1,1
view,generic,excl_only,1,1
worst,comparator,excl_only,1,1
two-thirds,statistics,excl_only,1,1
one-third,statistics,excl_only,1,1
general,generic,excl_only,1,1
generalise,academic_syntax,excl_only,1,1
generalize,academic_syntax,excl_only,1,1
generalisability,academic_syntax,excl_only,1,1
generalizability,academic_syntax,excl_only,1,1
fluctuations,academic_syntax,excl_only,1,1
likelihood,comparator,excl_only,1,1
intersectionality,statistics,excl_only,1,1
verbal,modal,excl_only,1,1
greater,comparator,excl_only,1,1
lesser,comparator,excl_only,1,1
mask,generic,excl_only,1,1
likely,comparator,excl_only,1,1
more likely,comparator,excl_only,1,1
less likely,comparator,excl_only,1,1
covariates,academic_syntax,excl_only,1,1
incidence,academic_syntax,excl,1,1
proportion,statistics,excl,1,1
loss,generic,excl_only,1,1
gain,generic,excl_only,1,1
time,temporal,excl_only,1,1
day,temporal,excl_only,1,1
days,temporal,excl_only,1,1
week,temporal,excl_only,1,1
weeks,temporal,excl_only,1,1
month,temporal,excl_only,1,1
months,temporal,excl_only,1,1
year,temporal,excl_only,1,1
years,temporal,excl_only,1,1
comparison,academic_syntax,excl_only,1,1
comparisons,academic_syntax,excl_only,1,1
advantage,generic,excl_only,1,0
advantages,generic,excl_only,1,0
disadvantage,generic,excl_only,1,0
disadvantages,generic,excl_only,1,0
curves,statistics,excl_only,1,1
higher prevalence,academic_syntax,excl_only,1,1
lower prevalence,academic_syntax,excl_only,1,1
lower odds,comparator,excl_only,1,1
higher odds,comparator,excl_only,1,1
greater odds,comparator,excl_only,1,1
lower odd,comparator,excl_only,1,1
higher odd,comparator,excl_only,1,1
greater odd,comparator,excl_only,1,1
lower rates,comparator,excl_only,1,1
higher rates,comparator,excl_only,1,1
lower rate,comparator,excl_only,1,1
higher rate,comparator,excl_only,1,1
lower level,comparator,excl_only,1,1
higher level,comparator,excl_only,1,1
lower levels,comparator,excl_only,1,1
higher levels,comparator,excl_only,1,1
greater level,comparator,excl_only,1,1
level,generic,excl_only,1,1
levels,generic,excl_only,1,1
higher percentage,comparator,excl_only,1,1
lower percentage,comparator,excl_only,1,1
greater percentage,comparator,excl_only,1,1
overall,generic,excl_only,1,1
run,generic,excl_only,1,1
line,statistics,excl_only,1,1
discussion,academic_syntax,excl_only,1,1
mix,generic,excl_only,1,1
notion,academic_syntax,excl_only,1,1
quartile,statistics,excl,1,0
contrast,comparator,excl_only,1,1
higher end,comparator,excl_only,1,1
lower end,comparator,excl_only,1,1
higher amount,comparator,excl_only,1,1
higher amounts,comparator,excl_only,1,1
lower amount,comparator,excl_only,1,1
lower amounts,comparator,excl_only,1,1
link,generic,excl_only,1,1
higher frequency,comparator,excl_only,1,1
lower frequency,comparator,excl_only,1,1
representation,academic_syntax,excl,1,1
higher number,comparator,excl_only,1,1
lower number,comparator,excl_only,1,1
our,phrases,excl,1,1
we,phrases,excl,1,1
this,phrases,excl,1,1
significant,academic_syntax,excl_only,1,1
significance,academic_syntax,excl_only,1,1
afghanistan,geography,excl_only,1,1
albania,geography,excl_only,1,1
algeria,geography,excl_only,1,1
andorra,geography,excl_only,1,1
angola,geography,excl_only,1,1
antigua and barbuda,geography,excl_only,1,1
argentina,geography,excl_only,1,1
armenia,geography,excl_only,1,1
australia,geography,excl_only,1,1
austria,geography,excl_only,1,1
azerbaijan,geography,excl_only,1,1
bahamas,geography,excl_only,1,1
bahrain,geography,excl_only,1,1
bangladesh,geography,excl_only,1,1
barbados,geography,excl_only,1,1
belarus,geography,excl_only,1,1
belgium,geography,excl_only,1,1
belize,geography,excl_only,1,1
benin,geography,excl_only,1,1
bhutan,geography,excl_only,1,1
bolivia,geography,excl_only,1,1
bosnia herzegovina,geography,excl_only,1,1
botswana,geography,excl_only,1,1
brazil,geography,excl_only,1,1
brunei,geography,excl_only,1,1
bulgaria,geography,excl_only,1,1
burkina,geography,excl_only,1,1
burma,geography,excl_only,1,1
burundi,geography,excl_only,1,1
cambodia,geography,excl_only,1,1
cameroon,geography,excl_only,1,1
canada,geography,excl_only,1,1
cape verde,geography,excl_only,1,1
central african rep,geography,excl_only,1,1
chad,geography,excl_only,1,1
chile,geography,excl_only,1,1
china,geography,excl_only,1,1
colombia,geography,excl_only,1,1
comoros,geography,excl_only,1,1
congo,geography,excl_only,1,1
costa rica,geography,excl_only,1,1
croatia,geography,excl_only,1,1
cuba,geography,excl_only,1,1
cyprus,geography,excl_only,1,1
czech republic,geography,excl_only,1,1
denmark,geography,excl_only,1,1
djibouti,geography,excl_only,1,1
dominica,geography,excl_only,1,1
dominican republic,geography,excl_only,1,1
democratic republic of congo,geography,excl_only,1,1
east timor,geography,excl_only,1,1
ecuador,geography,excl_only,1,1
egypt,geography,excl_only,1,1
el salvador,geography,excl_only,1,1
equatorial guinea,geography,excl_only,1,1
eritrea,geography,excl_only,1,1
estonia,geography,excl_only,1,1
ethiopia,geography,excl_only,1,1
fiji,geography,excl_only,1,1
finland,geography,excl_only,1,1
france,geography,excl_only,1,1
